date,total_value,equity_value,cash,cost_basis_total,unrealized_pnl,realized_pnl_today,day_change_dollars,day_change_percent,positions_count,trades_today,net_external_flow,spy_close
2026-07-10,1018.40,712.60,305.80,700.10,12.50,,4.10,0.00404,3,0,0,612.40
2026-07-13,1015.90,708.30,307.60,700.10,8.20,,-2.50,-0.00246,3,0,0,614.10
2026-07-14,1011.70,701.90,309.80,706.05,-4.15,-4.20,-4.20,-0.00414,3,1,0,611.80
2026-07-15,1014.30,705.60,308.70,706.05,-0.45,,2.60,0.00257,3,0,0,615.20
2026-07-16,1019.85,712.40,307.45,706.05,6.35,,5.55,0.00548,3,0,0,617.90
2026-07-17,1023.10,716.20,306.90,706.05,10.15,,3.25,0.00319,3,0,0,616.30
2026-07-20,1027.55,720.90,306.65,706.05,14.85,,4.45,0.00435,3,0,0,619.75
2026-07-21,1031.20,724.30,306.90,706.05,18.25,,3.65,0.00355,3,0,0,621.40
2026-07-22,1037.50,727.80,309.70,712.35,15.45,6.30,6.30,0.00611,3,1,0,623.10
2026-07-23,1044.10,734.85,309.25,712.35,22.50,,6.60,0.00636,3,0,0,622.65
2026-07-24,1050.00,738.95,311.05,721.95,17.00,,5.90,0.00565,3,1,0,624.90
